region,avg_rank,std_rank,rank_multi
West Midlands,123.219,16.29479423114776,123
West Pomerania,123.80333333333333,18.416686498757347,124
Saxony-Anhalt,126.58122222222222,22.77136886969094,125
Province of Bolzano-Bozen,127.07688888888889,20.949027170805397,126
Southeast,132.37666666666667,24.403748899071296,127
Bourgogne-Franche-Comté,132.867,17.33402007374173,128
Aragon,133.52433333333335,18.163041127713168,129
Umbria,133.85266666666666,25.399575181091762,130
Lower Saxony,135.01366666666667,18.142584871529344,131
Vorarlberg,136.06688888888888,20.597928718836474,132
Panevežys county,136.49588888888889,21.07504581633361,133
Silesia,137.029,27.35993420435486,134
Kuyavian-Pomerania,137.45155555555556,22.303528185248897,135
Eastern Slovenia,139.11811111111112,18.709449458578543,136
Centre - Val de Loire,139.99377777777778,17.624119398458635,137
Vidzeme,144.35655555555556,18.091465496643078,138
Central Bohemian Region,144.37977777777778,26.715546119067074,139
East Midlands,144.592,19.749604414813295,140
Wales,144.806,18.575229369441118,141
Lublin Province,144.88688888888888,23.217813850023,142
Mazowiecki region,145.0151111111111,23.234365784430107,143
Pieriga,145.89844444444444,19.309635016479067,144
Catalonia,146.0081111111111,20.694676388760573,145
Valencia,147.33933333333334,20.41920833177782,146
Schleswig-Holstein,147.86566666666667,21.019399521384543,147
Alytus county,147.93355555555556,24.046530130454087,148
Opole region,151.74033333333333,22.21648970025691,149
Lubusz,152.25344444444445,24.731537540762602,150
Hamburg,153.155,20.925254920240587,151
Friuli-Venezia Giulia,154.0932222222222,16.320025632442437,152
Brussels Capital Region,154.31755555555554,20.81122969697886,153
Styria,154.48477777777777,19.07337792229709,154
Metropolitan area of Lisbon,154.56533333333334,20.223365387887352,155
Riga,154.73111111111112,24.78616469558323,156
Southern Transdanubia,155.3312222222222,18.778416261089745,157
Central Moravia,156.88322222222223,27.931237830314423,158
Yorkshire and The Humber,157.3107777777778,20.831129724848402,159
Mayotte,157.48766666666666,17.252897642222504,160
Canary Islands,158.8601111111111,19.97703671130835,161
Bremen,160.069,17.186543600157112,162
Castile-La Mancha,160.52566666666667,22.592340110045296,163
Northern Ireland,161.33666666666667,17.654075910855465,164
Podkarpacia,161.57011111111112,21.150006784017442,165
Swietokrzyskie,164.542,20.40459771611388,166
Liguria,164.6507777777778,19.021003575382917,167
Murcia,165.3838888888889,21.696378081531293,168
Guadeloupe,166.45466666666667,18.886038895512165,169
North Aegean,166.56044444444444,18.076595923220157,170
Emilia-Romagna,166.61755555555555,17.556777313276605,171
Lodzkie,166.76,20.570244785910628,172
Marche,167.612,17.02572230224974,173
Moravia-Silesia,168.6681111111111,27.07764729413855,174
Sardinia,168.9272222222222,18.92198419253036,175
Martinique,169.42655555555555,17.034956357640123,176
Northern Hungary,169.67044444444446,19.346624253606834,177
Northern Great Plain,172.68455555555556,18.36156190456865,178
West Estonia,172.686,18.295692779006888,179
South Aegean,174.8291111111111,16.541660535421755,180
Vienna,176.50866666666667,16.29448043593176,181
Andalusia,176.57111111111112,21.386937576182603,182
Attica,177.30377777777778,19.33229080241782,183
Central Portugal,179.14433333333332,15.354526196513238,184
Tuscany,180.5508888888889,15.457654098137626,185
Warmian-Masuria,182.902,17.01089498771741,186
Central Estonia,183.7298888888889,19.012977594866094,187
Taurage county,185.22088888888888,17.165733098504045,188
Veneto,185.4111111111111,15.65904812871663,189
Algarve,185.81833333333333,14.036432739458357,190
Lazio,187.13544444444443,14.34783666867708,191
Zemgale,188.3011111111111,14.570793835317236,192
Northwest,188.77166666666668,16.72239155337438,193
Alentejo,189.60977777777777,15.403985134855313,194
North,191.1511111111111,14.929178623172241,195
Lombardy,192.337,14.791820851643699,196
French Guiana,193.73566666666667,13.740479337314072,197
Marijampole county,194.75966666666667,15.85679173394759,198
Aosta Valley,195.24833333333333,11.974878207258557,199
Abruzzo,195.608,11.014608207053264,200
Central Macedonia,195.72433333333333,11.772773057570248,201
Apulia,195.84511111111112,13.335416163206306,202
Epirus,196.10344444444445,13.145770356956369,203
Šiauliai county,196.89866666666666,13.757813381772275,204
Kurzeme,197.88188888888888,12.761096667767966,205
Piedmont,199.00611111111112,12.628266956911538,206
Utena county,201.92422222222223,14.70037195482235,207
Basilicata,202.6791111111111,11.088824378700664,208
Sicily,204.7581111111111,10.004268496091695,209
Crete,205.35533333333333,9.068124116161535,210
Peloponnese,206.11977777777778,8.647515115615638,211
Ionian Islands,206.24333333333334,8.24301082552476,212
Telšiai county,207.86911111111112,10.80121638810705,213
Latgale,209.095,9.657622462603365,214
Calabria,210.67922222222222,8.055486780400171,215
Western Greece,212.19755555555557,5.47374245404244,216
Campania,213.18944444444443,6.208601058650889,217
Thessaly,213.5708888888889,5.095845154270507,218
Western Macedonia,214.43566666666666,5.520479313850444,219
Central Greece,217.5967777777778,3.2528669013080145,220
"Eastern Macedonia, Thrace",219.798,2.1730031943239365,221
